Prénom,Nom de famille,Numéro d’identification,Adresse de courriel,Groupes
STÉPHANE,PELTIER DU FAURE,22130826,stephane.peltier-du-faure@unice.fr,G2
LUCIE,IMBERT,22139023,lucie.imbert@unice.fr,G3
LÉON,LEFÈVRE,22102167,leon.lefevre@unice.fr,G4
JEANNE,REYNAUD-GOSSELIN,22124706,jeanne.reynaud-gosselin@unice.fr,G5
MAURICE,VIDAL,22270116,maurice.vidal@unice.fr,G6
TRISTAN,TRAORE,22136998,tristan.traore@unice.fr,G7
PAUL,GAY,22141101,paul.gay@unice.fr,G8
ROBERT,DUBOIS DE LA ADAM,22220977,robert.dubois-de-la-adam@unice.fr,G9
GÉRARD,SANCHEZ,22243510,gerard.sanchez@unice.fr,G0
AUGUSTE,ALLAIN,22180024,auguste.allain@unice.fr,G1
LOUIS,GARCIA,22155455,louis.garcia@unice.fr,G2
MATHILDE,SANCHEZ,22245595,mathilde.sanchez@unice.fr,G3
NATHALIE,DU MARIN,22149347,nathalie.du-marin@unice.fr,G4
MADELEINE,VINCENT LE LOPES,22259943,madeleine.vincent-le-lopes@unice.fr,G5
THÉRÈSE,HUMBERT-BERNIER,22239463,therese.humbert-bernier@unice.fr,G6
CAPUCINE,DE LA RICHARD,22296809,capucine.de-la-richard@unice.fr,G7
CÉLINA,CARRE,22243562,celina.carre@unice.fr,G8
MADELEINE,BOURGEOIS,22128875,madeleine.bourgeois@unice.fr,G9
ARTHUR,DU MACE,22102257,arthur.du-mace@unice.fr,G0
ROBERT,CHAUVIN DE CARON,22241527,robert.chauvin-de-caron@unice.fr,G1
DENISE,DE LA PIERRE,22294789,denise.de-la-pierre@unice.fr,G2
CHARLES,BIGOT,22223111,charles.bigot@unice.fr,G3
MONIQUE-LUCE,ADAM,22130964,monique-luce.adam@unice.fr,G4
MARGAUX,WAGNER,22280469,margaux.wagner@unice.fr,G5
GILLES,MORENO,22260000,gilles.moreno@unice.fr,G6
CHARLOTTE,RENARD,22253858,charlotte.renard@unice.fr,G7
OLIVIE,BERGER,22282541,olivie.berger@unice.fr,G8
CLAUDE,ROUSSEAU,22108464,claude.rousseau@unice.fr,G9
GILLES,REYNAUD-GIRARD,22182193,gilles.reynaud-girard@unice.fr,G0
RICHARD,GROS,22114608,richard.gros@unice.fr,G1
XAVIER,BERTIN,22257975,xavier.bertin@unice.fr,G2
LOUISE,BUISSON DU PRUVOST,22245689,louise.buisson-du-pruvost@unice.fr,G3
XAVIER,GONCALVES,22229316,xavier.goncalves@unice.fr,G4
WILLIAM,GEORGES-CHAUVEAU,22288712,william.georges-chauveau@unice.fr,G5
TIMOTHÉE,BOUVIER-BOUCHER,22296908,timothee.bouvier-boucher@unice.fr,G6
ANAÏS,FOURNIER,22237519,anais.fournier@unice.fr,G7
DENISE,DELMAS,22245714,denise.delmas@unice.fr,G8
MICHELLE,DIJOUX,22174038,michelle.dijoux@unice.fr,G9
MARC,VERDIER,22118747,marc.verdier@unice.fr,G0
ANTOINE,DE LA HENRY,22284636,antoine.de-la-henry@unice.fr,G1
HORTENSE,LÉVÊQUE,22233437,hortense.leveque@unice.fr,G2
VICTOIRE-RENÉE,COSTE,22120805,victoire-renee.coste@unice.fr,G3
BERNADETTE,DELAHAYE,22298981,bernadette.delahaye@unice.fr,G4
DENISE,DUPRÉ,22135150,denise.dupre@unice.fr,G5
MONIQUE,MAILLARD,22157686,monique.maillard@unice.fr,G6
HENRI,RAMOS DU GILBERT,22235514,henri.ramos-du-gilbert@unice.fr,G7
ALPHONSE,VINCENT LE DESCHAMPS,22280583,alphonse.vincent-le-deschamps@unice.fr,G8
AMÉLIE,DA SILVA DE LAPORTE,22290833,amelie.da-silva-de-laporte@unice.fr,G9
STÉPHANE,DE TEIXEIRA,22258069,stephane.de-teixeira@unice.fr,G0
RENÉ,FONTAINE,22170011,rene.fontaine@unice.fr,G1
THÉODORE,TORRES,22153630,theodore.torres@unice.fr,G2
NATHALIE,JACQUET,22208936,nathalie.jacquet@unice.fr,G3
PHILIPPINE-CLÉMENCE,BONNEAU,22106540,philippine-clemence.bonneau@unice.fr,G4
JOSEPH,REYNAUD,22129076,joseph.reynaud@unice.fr,G5
CLAUDE,ARNAUD,22276541,claude.arnaud@unice.fr,G6
PAUL,LE MARIN,22139329,paul.le-marin@unice.fr,G7
MARGAUX-MICHÈLE,DIDIER,22264259,margaux-michele.didier@unice.fr,G8
BERTRAND,LAUNAY,22286791,bertrand.launay@unice.fr,G9
AUDREY,CHRÉTIEN,22268386,audrey.chretien@unice.fr,G0
AUGUSTE,LAUNAY-COHEN,22282734,auguste.launay-cohen@unice.fr,G1
JULIEN-PAUL,BLOT,22139396,julien-paul.blot@unice.fr,G2
AGNÈS,MICHAUD,22190600,agnes.michaud@unice.fr,G3
BERNADETTE,DUPUY,22225416,bernadette.dupuy@unice.fr,G4
SIMONE,GAUTHIER,22192659,simone.gauthier@unice.fr,G5
XAVIER,LEFEBVRE,22155795,xavier.lefebvre@unice.fr,G6
JULES,LE WAGNER,22282774,jules.le-wagner@unice.fr,G7
BENJAMIN,LOUIS LE HAMON,22186525,benjamin.louis-le-hamon@unice.fr,G8
ANAÏS,DE LA LEFORT,22256159,anais.de-la-lefort@unice.fr,G9
ZOÉ,DIJOUX,22127156,zoe.dijoux@unice.fr,G0
ADRIENNE,ROCHE-BRUNEL,22137396,adrienne.roche-brunel@unice.fr,G1
CORINNE,ROGER-GROS,22262325,corinne.roger-gros@unice.fr,G2
VICTOIRE,PINEAU,22276663,victoire.pineau@unice.fr,G3
DENISE,DE LA BOULANGER,22299198,denise.de-la-boulanger@unice.fr,G4
DANIELLE,MAHE-RAYNAUD,22243906,danielle.mahe-raynaud@unice.fr,G5
LAETITIA,BARTHELEMY,22174282,laetitia.barthelemy@unice.fr,G6
ALPHONSE,LAUNAY,22229585,alphonse.launay@unice.fr,G7
DANIELLE,BIGOT,22250078,danielle.bigot@unice.fr,G8
MARTHE,GAUTHIER,22297189,marthe.gauthier@unice.fr,G9
GUY-EUGÈNE,LELEU,22164069,guy-eugene.leleu@unice.fr,G0
ANTOINE,MARCHAND,22250085,antoine.marchand@unice.fr,G1
JULIE-PAULINE,MUNOZ,22172272,julie-pauline.munoz@unice.fr,G2
NOËL,PETITJEAN,22284913,noel.petitjean@unice.fr,G3
DANIEL,LE HOARAU,22280825,daniel.le-hoarau@unice.fr,G4
NATHALIE,BAZIN-DE OLIVEIRA,22119048,nathalie.bazin-de-oliveira@unice.fr,G5
LUC,BAUDRY,22262417,luc.baudry@unice.fr,G6
ALEXANDRE,WEBER,22119058,alexandre.weber@unice.fr,G7
GABRIEL,DU BLANCHET,22112913,gabriel.du-blanchet@unice.fr,G8
ALFRED,COLLET,22291092,alfred.collet@unice.fr,G9
MARGARET-GABRIELLE,DANIEL,22252182,margaret-gabrielle.daniel@unice.fr,G0
LUCE,BOUSQUET,22155933,luce.bousquet@unice.fr,G1
BENJAMIN,PELTIER-THIERRY,22231711,benjamin.peltier-thierry@unice.fr,G2
ÉLISE,CHAUVET,22188705,elise.chauvet@unice.fr,G3
SOPHIE,DE MOREL,22198950,sophie.de-morel@unice.fr,G4
SUZANNE,DE PRÉVOST,22225584,suzanne.de-prevost@unice.fr,G5
CLAIRE,LEBRUN,22196912,claire.lebrun@unice.fr,G6
AGATHE,GUIBERT,22178481,agathe.guibert@unice.fr,G7
VALENTINE,REYNAUD,22106801,valentine.reynaud@unice.fr,G8
XAVIER,BOUCHET,22248116,xavier.bouchet@unice.fr,G9
JEANNE,TANGUY LE TESSIER,22289077,jeanne.tanguy-le-tessier@unice.fr,G0
ALAIN-PAUL,LOPES,22205111,alain-paul.lopes@unice.fr,G1
ODETTE-AURORE,CHARTIER,22252218,odette-aurore.chartier@unice.fr,G2
JULIE,DE MARTINEZ,22108859,julie.de-martinez@unice.fr,G3
LOUIS,ROGER,22178501,louis.roger@unice.fr,G4
NICOLAS,WAGNER,22149833,nicolas.wagner@unice.fr,G5
ROLAND,FONTAINE DE LA HOAREAU,22137552,roland.fontaine-de-la-hoareau@unice.fr,G6
STÉPHANE,MARY,22162132,stephane.mary@unice.fr,G7
MARCELLE,MEUNIER,22139608,marcelle.meunier@unice.fr,G8
PATRICIA,ALBERT DE LECONTE,22192861,patricia.albert-de-leconte@unice.fr,G9
CÉCILE,TANGUY,22233822,cecile.tanguy@unice.fr,G0
RENÉ,LEBRUN,22227682,rene.lebrun@unice.fr,G1
BRIGITTE,TEIXEIRA,22135524,brigitte.teixeira@unice.fr,G2
RENÉE,CHAUVIN,22209257,renee.chauvin@unice.fr,G3
NICOLE-JACQUELINE,GUILBERT,22221555,nicole-jacqueline.guilbert@unice.fr,G4
ALIX,DUMAS,22160132,alix.dumas@unice.fr,G5
VICTOR,LÉVY-ROUSSEAU,22264581,victor.levy-rousseau@unice.fr,G6
ÉDOUARD,BLANCHET,22108936,edouard.blanchet@unice.fr,G7
ALICE,LEGROS,22278929,alice.legros@unice.fr,G8
MARTHE,GIRARD DE LA GUILLET,22274844,marthe.girard-de-la-guillet@unice.fr,G9
ALEXANDRE,DUPUY LE BLANC,22190881,alexandre.dupuy-le-blanc@unice.fr,G0
TRISTAN,VAILLANT DE LA NEVEU,22262565,tristan.vaillant-de-la-neveu@unice.fr,G1
JOSEPH,ÉTIENNE-COLLET,22211367,joseph.etienne-collet@unice.fr,G2
LOUIS,PAGES,22268716,louis.pages@unice.fr,G3
HENRIETTE,GRENIER,22250285,henriette.grenier@unice.fr,G4
JÉRÔME-RAYMOND,BRUNEAU,22182705,jerome-raymond.bruneau@unice.fr,G5
YVES,HERNANDEZ,22201149,yves.hernandez@unice.fr,G6
ADRIEN,LACOMBE,22252353,adrien.lacombe@unice.fr,G7
ROLAND,VALENTIN DE LA PARIS,22158146,roland.valentin-de-la-paris@unice.fr,G8
RENÉE,LANGLOIS,22168400,renee.langlois@unice.fr,G9
ALEXANDRE,GILLES,22283093,alexandre.gilles@unice.fr,G0
THÉODORE,DU RENAULT,22223710,theodore.du-renault@unice.fr,G1
PAULINE-ALEX,CLÉMENT,22190942,pauline-alex.clement@unice.fr,G2
COLETTE,GRENIER,22182768,colette.grenier@unice.fr,G3
ANDRÉ,GEORGES,22139761,andre.georges@unice.fr,G4
NOËL,DU LEFORT,22150003,noel.du-lefort@unice.fr,G5
LUC,HEBERT,22287221,luc.hebert@unice.fr,G6
TIMOTHÉE,LAUNAY DE BAILLY,22145910,timothee.launay-de-bailly@unice.fr,G7
LUCAS,MONNIER,22125432,lucas.monnier@unice.fr,G8
PHILIPPE,ROYER-ROUSSEL,22272895,philippe.royer-roussel@unice.fr,G9
JÉRÔME,LEBRUN,22240132,jerome.lebrun@unice.fr,G0
CORINNE,CHAUVEAU LE BRUNEAU,22115208,corinne.chauveau-le-bruneau@unice.fr,G1
XAVIER-LUCAS,LE GOFF,22156171,xavier-lucas.le-goff@unice.fr,G2
AUGUSTIN,DUPUY,22289299,augustin.dupuy@unice.fr,G3
STÉPHANE,MARIN,22270874,stephane.marin@unice.fr,G4
CÉCILE,VERDIER,22147998,cecile.verdier@unice.fr,G5
JOSÉPHINE-ANNE,POIRIER,22211487,josephine-anne.poirier@unice.fr,G6
XAVIER,POTTIER,22197166,xavier.pottier@unice.fr,G7
THÉOPHILE,PHILIPPE,22100914,theophile.philippe@unice.fr,G8
EMMANUELLE,DU LEBRETON,22115251,emmanuelle.du-lebreton@unice.fr,G9
FRANÇOIS,PRUVOST,22264756,francois.pruvost@unice.fr,G0
ALEXANDRIA,LECOMTE-DIDIER,22266806,alexandria.lecomte-didier@unice.fr,G1
ÉRIC,DIAZ,22188986,eric.diaz@unice.fr,G2
CHRISTELLE,MALLET,22213564,christelle.mallet@unice.fr,G3
NICOLE,BERTRAND,22197190,nicole.bertrand@unice.fr,G4
GEORGES,VERDIER-GAUTIER,22209480,georges.verdier-gautier@unice.fr,G5
ROBERT,AUGER,22174667,robert.auger@unice.fr,G6
AMÉLIE,SANCHEZ,22213580,amelie.sanchez@unice.fr,G7
MARCEL,SEGUIN,22178764,marcel.seguin@unice.fr,G8
THIERRY,ROUX,22189005,thierry.roux@unice.fr,G9
LÉON,LAGARDE,22258641,leon.lagarde@unice.fr,G0
JOSETTE,FABRE,22146014,josette.fabre@unice.fr,G1
CATHERINE,COULON-GAUDIN,22256612,catherine.coulon-gaudin@unice.fr,G2
JEANNE,BLANCHET,22123495,jeanne.blanchet@unice.fr,G3
PATRICK,GUILLET,22273013,patrick.guillet@unice.fr,G4
LAURENT,HAMEL,22129659,laurent.hamel@unice.fr,G5
ÉMILE,FABRE,22133767,emile.fabre@unice.fr,G6
CÉCILE,DELAHAYE,22125576,cecile.delahaye@unice.fr,G7
SÉBASTIEN,DU FAURE,22197255,sebastien.du-faure@unice.fr,G8
ÉRIC,LELEU,22150152,eric.leleu@unice.fr,G9
RÉMY,DE LA NGUYEN,22115340,remy.de-la-nguyen@unice.fr,G0
LUC,HUMBERT,22105105,luc.humbert@unice.fr,G1
JACQUES,DOS SANTOS,22187036,jacques.dos-santos@unice.fr,G2
GILBERT,COSTE,22291506,gilbert.coste@unice.fr,G3
ANOUK,VERDIER,22219836,anouk.verdier@unice.fr,G4
FRANCK,GUYON,22232125,franck.guyon@unice.fr,G5
THIBAULT,SAUVAGE,22152255,thibault.sauvage@unice.fr,G6
BERNADETTE,FOUQUET,22262856,bernadette.fouquet@unice.fr,G7
MATTHIEU,LEGENDRE,22117453,matthieu.legendre@unice.fr,G8
BERNARD,HOAREAU,22258767,bernard.hoareau@unice.fr,G9
ALIX,GONCALVES,22211663,alix.goncalves@unice.fr,G0
ÉLODIE,OLIVIER-JOSEPH,22187096,elodie.olivier-joseph@unice.fr,G1
ALEX,DE LACROIX,22199387,alex.de-lacroix@unice.fr,G2
ANDRÉE,RENAULT DE BIGOT,22219872,andree.renault-de-bigot@unice.fr,G3
TRISTAN,DU PRÉVOST,22189156,tristan.du-prevost@unice.fr,G4
NOËL,PRUVOST,22133873,noel.pruvost@unice.fr,G5
BERTRAND,PINEAU,22103154,bertrand.pineau@unice.fr,G6
ÉDITH,DE FRANÇOIS,22164596,edith.de-francois@unice.fr,G7
BERNADETTE,PICHON,22170743,bernadette.pichon@unice.fr,G8
CHRISTOPHE,PIRES,22264953,christophe.pires@unice.fr,G9
LÉON,DUMONT,22178937,leon.dumont@unice.fr,G0
CÉCILE,DEVAUX,22289545,cecile.devaux@unice.fr,G1
BERTRAND,JEAN,22264970,bertrand.jean@unice.fr,G2
THIBAULT,BOURDON,22135957,thibault.bourdon@unice.fr,G3
ALAIN,GROS,22211751,alain.gros@unice.fr,G4
THÉOPHILE,BERNARD,22265003,theophile.bernard@unice.fr,G5
CHRISTELLE,PIERRE,22203567,christelle.pierre@unice.fr,G6
AUGUSTIN,BONNET,22295728,augustin.bonnet@unice.fr,G7
THÉOPHILE,LAROCHE-POTIER,22123697,theophile.laroche-potier@unice.fr,G8
MARGUERITE,DE LETELLIER,22269105,marguerite.de-letellier@unice.fr,G9
ANTOINE,GARCIA,22129844,antoine.garcia@unice.fr,G0
NATHALIE,PAYET,22160567,nathalie.payet@unice.fr,G1
CHARLES,TOUSSAINT,22269112,charles.toussaint@unice.fr,G2
MATHILDE-CHANTAL,DEVAUX,22150333,mathilde-chantal.devaux@unice.fr,G3
THIERRY-GILLES,MUNOZ,22121675,thierry-gilles.munoz@unice.fr,G4
GILBERT,TEIXEIRA,22113485,gilbert.teixeira@unice.fr,G5
JACQUES,BESNARD,22295766,jacques.besnard@unice.fr,G6
MARYSE,ALLAIN,22201566,maryse.allain@unice.fr,G7
LUCY,DE LA LELIÈVRE,22195423,lucy.de-la-lelievre@unice.fr,G8
ANDRÉ,WAGNER DE LA LUCAS,22299879,andre.wagner-de-la-lucas@unice.fr,G9
DENIS,DIAS,22193389,denis.dias@unice.fr,G0
ÉLISE,JEAN,22207736,elise.jean@unice.fr,G1
MONIQUE,BLANCHET,22144250,monique.blanchet@unice.fr,G2
ÉDOUARD,COLLIN-TESSIER,22187274,edouard.collin-tessier@unice.fr,G3
MARGOT,DE BÈGUE,22203661,margot.de-begue@unice.fr,G4
ÉRIC,PELLETIER,22238478,eric.pelletier@unice.fr,G5
ANOUK,PARENT,22156575,anouk.parent@unice.fr,G6
GILBERT,FERREIRA-MATHIEU,22148395,gilbert.ferreira-mathieu@unice.fr,G7
GEORGES-DAVID,BOUCHER,22244659,georges-david.boucher@unice.fr,G8
ÉDOUARD,ROUSSEL,22179135,edouard.roussel@unice.fr,G9
FRANCK,HAMEL,22259011,franck.hamel@unice.fr,G0
HORTENSE,BERTRAND,22234437,hortense.bertrand@unice.fr,G1
JULIE,DU BOUTIN,22222151,julie.du-boutin@unice.fr,G2
CHRISTELLE,LETELLIER,22240586,christelle.letellier@unice.fr,G3
ADRIENNE,LAROCHE,22299980,adrienne.laroche@unice.fr,G4
PAULETTE,TEXIER,22195534,paulette.texier@unice.fr,G5
AURORE,FRANÇOIS,22177104,aurore.francois@unice.fr,G6
GUILLAUME,LEROY-ROCHE,22105429,guillaume.leroy-roche@unice.fr,G7
ROLAND,PINTO,22277464,roland.pinto@unice.fr,G8
BERNARD,DELANNOY,22248793,bernard.delannoy@unice.fr,G9
NOÉMI,SANCHEZ,22234463,noemi.sanchez@unice.fr,G0
MICHELLE,GÉRARD,22213986,michelle.gerard@unice.fr,G1
MATTHIEU,LOPEZ,22250852,matthieu.lopez@unice.fr,G2
ALEXANDRE,ROUSSEL DE LA LOPEZ,22240616,alexandre.roussel-de-la-lopez@unice.fr,G3
HONORÉ,BERTHELOT-ALLARD,22197608,honore.berthelot-allard@unice.fr,G4
SÉBASTIEN,DE LA LAPORTE,22140265,sebastien.de-la-laporte@unice.fr,G5
PATRICK,GAILLARD,22271343,patrick.gaillard@unice.fr,G6
VICTOIRE,DANIEL-VINCENT,22261104,victoire.daniel-vincent@unice.fr,G7
LAURENT,MALLET,22240624,laurent.mallet@unice.fr,G8
LAURENCE,GOSSELIN,22246774,laurence.gosselin@unice.fr,G9
BENOÎT,RENAULT LE WAGNER,22214008,benoit.renault-le-wagner@unice.fr,G0
JOSEPH,MARTINS-LEGENDRE,22265209,joseph.martins-legendre@unice.fr,G1
FRÉDÉRIQUE,BOUVIER,22277507,frederique.bouvier@unice.fr,G2
LAURENT,LEDUC,22275468,laurent.leduc@unice.fr,G3
JULES-ROGER,LEFORT,22261140,jules-roger.lefort@unice.fr,G4
RAYMOND,ROUX,22181273,raymond.roux@unice.fr,G5
NATHALIE,SAMSON,22265242,nathalie.samson@unice.fr,G6
ÉMILE-LÉON,LECLERC,22197659,emile-leon.leclerc@unice.fr,G7
MATTHIEU,DE LA LETELLIER,22238623,matthieu.de-la-letellier@unice.fr,G8
RÉMY,VIDAL,22162854,remy.vidal@unice.fr,G9
SIMONE,DESCHAMPS-NEVEU,22128042,simone.deschamps-neveu@unice.fr,G0
MAURICE-LÉON,BOUSQUET,22119855,maurice-leon.bousquet@unice.fr,G1
MARIE,LANGLOIS,22197681,marie.langlois@unice.fr,G2
MARYSE,LE FAURE,22146483,maryse.le-faure@unice.fr,G3
ÉRIC,BOYER,22148536,eric.boyer@unice.fr,G4
RICHARD,BAILLY DE LA MARION,22257097,richard.bailly-de-la-marion@unice.fr,G5
TRISTAN,TESSIER,22283723,tristan.tessier@unice.fr,G6
ROLAND,LAMY,22171084,roland.lamy@unice.fr,G7
AUGUSTE-MAURICE,DELMAS,22216142,auguste-maurice.delmas@unice.fr,G8
EUGÈNE,DU HUMBERT,22195669,eugene.du-humbert@unice.fr,G9
ANNE,GARCIA,22138330,anne.garcia@unice.fr,G0
JEANNINE,LEBON,22296027,jeannine.lebon@unice.fr,G1
ÉMILE,POIRIER,22152668,emile.poirier@unice.fr,G2
CLAUDINE,DU LEFORT,22236639,claudine.du-lefort@unice.fr,G3
FRÉDÉRIQUE,DE OLIVEIRA,22201829,frederique.de-oliveira@unice.fr,G4
GEORGES,LAURENT,22134262,georges.laurent@unice.fr,G5
CATHERINE,DU CAMUS,22273541,catherine.du-camus@unice.fr,G6
MARCELLE-MONIQUE,MALLET,22210059,marcelle-monique.mallet@unice.fr,G7
CHARLES,ROUSSEL DE RODRIGUES,22203919,charles.roussel-de-rodrigues@unice.fr,G8
MARTHE,ANDRE,22146576,marthe.andre@unice.fr,G9
GÉRARD,LUCAS,22179344,gerard.lucas@unice.fr,G0
RÉMY,DE SOUSA,22242834,remy.de-sousa@unice.fr,G1
AURÉLIE,BERNARD-BOYER,22238742,aurelie.bernard-boyer@unice.fr,G2
EMMANUEL,DE LA LAUNAY,22146584,emmanuel.de-la-launay@unice.fr,G3
JACQUES,POTTIER,22220316,jacques.pottier@unice.fr,G4
ISABELLE,LE GIRAUD,22257197,isabelle.le-giraud@unice.fr,G5
ÉLODIE,GONZALEZ,22136372,elodie.gonzalez@unice.fr,G6
ÉLISE,DIJOUX,22183480,elise.dijoux@unice.fr,G7
MARINE,LEBLANC,22128185,marine.leblanc@unice.fr,G8
FRANÇOIS,FERREIRA,22134340,francois.ferreira@unice.fr,G9
MARCEL,LENOIR LE BERTHELOT,22124105,marcel.lenoir-le-berthelot@unice.fr,G0
AIMÉ-ÉTIENNE,BECKER,22242890,aime-etienne.becker@unice.fr,G1
ZOÉ,ROUX,22275659,zoe.roux@unice.fr,G2
ALAIN,GÉRARD,22246995,alain.gerard@unice.fr,G3
THIERRY,MUNOZ,22285916,thierry.munoz@unice.fr,G4
AIMÉ,HERVÉ-BLIN,22298205,aime.herve-blin@unice.fr,G5
GEORGES-PAUL,WEISS,22111842,georges-paul.weiss@unice.fr,G6
LOUISE,GRONDIN,22296165,louise.grondin@unice.fr,G7
BERTRAND,ÉTIENNE,22234730,bertrand.etienne@unice.fr,G8
GILLES,WEBER,22167152,gilles.weber@unice.fr,G9
MARIE,MARTINS DU VAILLANT,22226547,marie.martins-du-vaillant@unice.fr,G0
ÉDITH,LE LEJEUNE,22298239,edith.le-lejeune@unice.fr,G1
GRÉGOIRE,PERRET,22120064,gregoire.perret@unice.fr,G2
STÉPHANE-ARTHUR,MOREL,22283912,stephane-arthur.morel@unice.fr,G3
ÉLÉONORE,PICHON,22269579,eleonore.pichon@unice.fr,G4
ROGER,ROGER,22154896,roger.roger@unice.fr,G5
SUZANNE,DU SCHMITT,22177427,suzanne.du-schmitt@unice.fr,G6
MARGOT,GILLET,22154899,margot.gillet@unice.fr,G7
CHARLOTTE-MATHILDE,LEFEBVRE,22156947,charlotte-mathilde.lefebvre@unice.fr,G8
ALIX-JULIETTE,DE SOUSA,22126232,alix-juliette.de-sousa@unice.fr,G9
XAVIER,BESSON,22265497,xavier.besson@unice.fr,G0
CORINNE,GALLET DU BAILLY,22242973,corinne.gallet-du-bailly@unice.fr,G1
ODETTE,BESNARD,22265515,odette.besnard@unice.fr,G2
ANASTASIE,DIAZ,22286002,anastasie.diaz@unice.fr,G3
ROLAND,PRÉVOST,22216375,roland.prevost@unice.fr,G4
ANDRÉ,PARIS,22175434,andre.paris@unice.fr,G5
ROBERT-JEAN,GAUDIN,22183632,robert-jean.gaudin@unice.fr,G6
ALFRED,LELIÈVRE,22148822,alfred.lelievre@unice.fr,G7
BENJAMIN,DESCAMPS,22159064,benjamin.descamps@unice.fr,G8
AUGUSTE,DE LA MATHIEU,22255320,auguste.de-la-mathieu@unice.fr,G9
LUC,DANIEL DU KLEIN,22212314,luc.daniel-du-klein@unice.fr,G0
ARTHUR,LEDUC-LENOIR,22281948,arthur.leduc-lenoir@unice.fr,G1
MATTHIEU,GAUTHIER DE LA NEVEU,22103777,matthieu.gauthier-de-la-neveu@unice.fr,G2
ADÉLAÏDE-JEANNE,REY,22224616,adelaide-jeanne.rey@unice.fr,G3
EUGÈNE,PAGES,22249214,eugene.pages@unice.fr,G4
GABRIEL,BRUNEAU-MENARD,22294270,gabriel.bruneau-menard@unice.fr,G5
OLIVIE-MARGUERITE,JOURDAN,22189835,olivie-marguerite.jourdan@unice.fr,G6
PAUL,BRUN,22122256,paul.brun@unice.fr,G7
GABRIEL,MAURY LE GUILLOU,22238997,gabriel.maury-le-guillou@unice.fr,G8
CAROLINE,LEBRETON DU RAYNAUD,22288155,caroline.lebreton-du-raynaud@unice.fr,G9
MAURICE,RAYMOND,22243105,maurice.raymond@unice.fr,G0
SOPHIE,TURPIN,22144802,sophie.turpin@unice.fr,G1
AIMÉ-ÉDOUARD,RUIZ,22181666,aime-edouard.ruiz@unice.fr,G2
OLIVIER,MAURY,22226722,olivier.maury@unice.fr,G3
MARGOT,VALLÉE,22265639,margot.vallee@unice.fr,G4
SIMONE,DU RENARD,22120231,simone.du-renard@unice.fr,G5
JULIETTE,BESSON,22165291,juliette.besson@unice.fr,G6
ALEXANDRIE,BÈGUE DE LA GALLET,22175540,alexandrie.begue-de-la-gallet@unice.fr,G7
SIMONE,DU FOUCHER,22140731,simone.du-foucher@unice.fr,G8
ARTHUR,BLANCHARD,22183744,arthur.blanchard@unice.fr,G9
CAMILLE,DESCHAMPS,22142787,camille.deschamps@unice.fr,G0
CÉCILE,PERROT LE GAY,22171460,cecile.perrot-le-gay@unice.fr,G1
THÉRÈSE,LACOMBE-BARTHELEMY,22171466,therese.lacombe-barthelemy@unice.fr,G2
