Nom;Prénom;Numéro Étudiant;Email;Amphi;Place
CLÉMENT;JOSEPH;22192846;joseph.clement@unice.fr;Petit_Valrose;C-13-2;
DIDIER;OLIVIER;22164175;olivier.didier@unice.fr;Petit_Valrose;C-13-4;
BIGOT;AIMÉ;22222944;aime.bigot@unice.fr;Petit_Valrose;C-15-1;
COLIN;ANAÏS;22141465;anais.colin@unice.fr;Petit_Valrose;C-15-2;
DOS SANTOS-CARON;XAVIER;22244357;xavier.dos-santos-caron@unice.fr;Petit_Valrose;C-15-4;
BLONDEL;PATRICK;22131607;patrick.blondel@unice.fr;Petit_Valrose;C-17-1;
COLIN;CHRISTINE;22234752;christine.colin@unice.fr;Petit_Valrose;C-17-2;
DUMONT-DUPUIS;ÉRIC;22255538;eric.dumont-dupuis@unice.fr;Petit_Valrose;C-17-4;
FERRAND;CLAUDE;22203065;claude.ferrand@unice.fr;Petit_Valrose;B-1-1;
GUILLON DE LA CARRE;MICHEL;22261106;michel.guillon-de-la-carre@unice.fr;Petit_Valrose;B-1-2;
HARDY;JACQUELINE;22289324;jacqueline.hardy@unice.fr;Petit_Valrose;B-1-3;
LE LEDOUX;ALPHONSE;22225270;alphonse.le-ledoux@unice.fr;Petit_Valrose;B-1-4;
LOMBARD;THÉODORE;22252557;theodore.lombard@unice.fr;Petit_Valrose;B-1-5;
GAUDIN;SABINE;22201043;sabine.gaudin@unice.fr;Petit_Valrose;B-3-1;
GUILLOT-ROSSI;HENRI;22269835;henri.guillot-rossi@unice.fr;Petit_Valrose;B-3-2;
HUBERT;ÉDITH;22183253;edith.hubert@unice.fr;Petit_Valrose;B-3-3;
LE MARIE;STÉPHANE;22214256;stephane.le-marie@unice.fr;Petit_Valrose;B-3-4;
LOPES DE LA IMBERT;JULES;22107084;jules.lopes-de-la-imbert@unice.fr;Petit_Valrose;B-3-5;
GERMAIN;WILLIAM;22258751;william.germain@unice.fr;Petit_Valrose;B-5-1;
GÉRARD;ALEXANDRE;22232470;alexandre.gerard@unice.fr;Petit_Valrose;B-5-2;
JACQUES;ZOÉ;22213827;zoe.jacques@unice.fr;Petit_Valrose;B-5-3;
LE ROBERT;VIRGINIE;22183176;virginie.le-robert@unice.fr;Petit_Valrose;B-5-4;
LÉVY-BERNIER;THIERRY;22205784;thierry.levy-bernier@unice.fr;Petit_Valrose;B-5-5;
GIRARD;SYLVIE;22288719;sylvie.girard@unice.fr;Petit_Valrose;B-7-1;
HAMON-ÉTIENNE;THOMAS;22290794;thomas.hamon-etienne@unice.fr;Petit_Valrose;B-7-2;
JACQUOT;EUGÈNE-MARTIN;22192381;eugene-martin.jacquot@unice.fr;Petit_Valrose;B-7-3;
LEBRUN;LUCAS;22240072;lucas.lebrun@unice.fr;Petit_Valrose;B-7-4;
LÉVY-MARÉCHAL;RENÉE;22114008;renee.levy-marechal@unice.fr;Petit_Valrose;B-7-5;
GIRAUD-GIRARD;ÉRIC;22117866;eric.giraud-girard@unice.fr;Petit_Valrose;B-9-1;
JOLY LE NAVARRO;GILBERT;22158013;gilbert.joly-le-navarro@unice.fr;Petit_Valrose;B-9-3;
LEDOUX LE JULIEN;ISABELLE;22162263;isabelle.ledoux-le-julien@unice.fr;Petit_Valrose;B-9-4;
MALLET;NATHALIE;22184560;nathalie.mallet@unice.fr;Petit_Valrose;B-9-5;
GOMEZ-GOMES;THIBAUT;22180629;thibaut.gomez-gomes@unice.fr;Petit_Valrose;B-11-1;
JULIEN;THIBAULT;22241793;thibault.julien@unice.fr;Petit_Valrose;B-11-3;
LEGRAND;ALEXANDRIA-ANDRÉE;22258588;alexandria-andree.legrand@unice.fr;Petit_Valrose;B-11-4;
MARCHAND;JOSÉPHINE;22151998;josephine.marchand@unice.fr;Petit_Valrose;B-11-5;
GRONDIN;ÉLÉONORE;22105004;eleonore.grondin@unice.fr;Petit_Valrose;B-13-1;
KLEIN DU MARCHAND;GILBERT;22273680;gilbert.klein-du-marchand@unice.fr;Petit_Valrose;B-13-3;
LENOIR-MAILLARD;PHILIPPINE;22156086;philippine.lenoir-maillard@unice.fr;Petit_Valrose;B-13-4;
MARQUES;AIMÉ;22264401;aime.marques@unice.fr;Petit_Valrose;B-13-5;
GUICHARD;EMMANUEL-ÉMILE;22225811;emmanuel-emile.guichard@unice.fr;Petit_Valrose;B-15-1;
LE BLOT;MICHELLE;22277003;michelle.le-blot@unice.fr;Petit_Valrose;B-15-3;
LEROUX;GILBERT;22245323;gilbert.leroux@unice.fr;Petit_Valrose;B-15-4;
MARTEL;NOÉMI-GENEVIÈVE;22225468;noemi-genevieve.martel@unice.fr;Petit_Valrose;B-15-5;
GUILBERT;ODETTE;22189756;odette.guilbert@unice.fr;Petit_Valrose;B-17-1;
LE GOFF;MARYSE;22208036;maryse.le-goff@unice.fr;Petit_Valrose;B-17-3;
LOISEAU DE LA DANIEL;GILLES;22202470;gilles.loiseau-de-la-daniel@unice.fr;Petit_Valrose;B-17-4;
MARTINEAU;LUCY;22131235;lucy.martineau@unice.fr;Petit_Valrose;B-17-5;
VAILLANT;MARGUERITE;22257039;marguerite.vaillant@unice.fr;Petit_Valrose;A-1-1;
WEBER;NOËL;22266247;noel.weber@unice.fr;Petit_Valrose;A-1-2;
MARTINS;ROLAND;22230296;roland.martins@unice.fr;Petit_Valrose;A-3-1;
MOREL-ROUSSET;CATHERINE;22164908;catherine.morel-rousset@unice.fr;Petit_Valrose;A-3-2;
POULAIN;MICHEL;22141791;michel.poulain@unice.fr;Petit_Valrose;A-3-3;
RIVIÈRE DE LA VALLET;VALENTINE;22212891;valentine.riviere-de-la-vallet@unice.fr;Petit_Valrose;A-3-4;
MASSE;MAURICE;22144167;maurice.masse@unice.fr;Petit_Valrose;A-5-1;
MULLER;LÉON;22184050;leon.muller@unice.fr;Petit_Valrose;A-5-2;
POULAIN;SUSANNE;22221306;susanne.poulain@unice.fr;Petit_Valrose;A-5-3;
ROLLAND LE HERVÉ;PHILIPPE;22115902;philippe.rolland-le-herve@unice.fr;Petit_Valrose;A-5-4;
MATHIEU-BERTIN;BENOÎT;22195763;benoit.mathieu-bertin@unice.fr;Petit_Valrose;A-7-1;
NORMAND;GILLES;22111701;gilles.normand@unice.fr;Petit_Valrose;A-7-2;
PRÉVOST;GABRIEL;22132376;gabriel.prevost@unice.fr;Petit_Valrose;A-7-3;
SCHMITT;RENÉE;22190684;renee.schmitt@unice.fr;Petit_Valrose;A-7-4;
MENARD;ÉMILE;22145733;emile.menard@unice.fr;Petit_Valrose;A-9-1;
OLIVIER;LUCIE;22202230;lucie.olivier@unice.fr;Petit_Valrose;A-9-2;
RAMOS;ARTHUR;22260401;arthur.ramos@unice.fr;Petit_Valrose;A-9-3;
SCHMITT;BERTRAND;22116133;bertrand.schmitt@unice.fr;Petit_Valrose;A-9-4;
MENDÈS;LUC;22273603;luc.mendes@unice.fr;Petit_Valrose;A-11-1;
PARENT;VALENTINE;22151012;valentine.parent@unice.fr;Petit_Valrose;A-11-2;
RIBEIRO-PEREIRA;GILBERT;22150204;gilbert.ribeiro-pereira@unice.fr;Petit_Valrose;A-11-3;
SIMON;JACQUES;22112645;jacques.simon@unice.fr;Petit_Valrose;A-11-4;
MERCIER;ZOÉ-CHARLOTTE;22165514;zoe-charlotte.mercier@unice.fr;Petit_Valrose;A-13-1;
PERROT;JACQUES;22102358;jacques.perrot@unice.fr;Petit_Valrose;A-13-2;
TESSIER;RICHARD;22242167;richard.tessier@unice.fr;Petit_Valrose;A-13-4;
MEUNIER;RÉMY;22267089;remy.meunier@unice.fr;Petit_Valrose;A-15-1;
PICHON;RAYMOND;22225572;raymond.pichon@unice.fr;Petit_Valrose;A-15-2;
TEXIER;HUGUES-ÉTIENNE;22272721;hugues-etienne.texier@unice.fr;Petit_Valrose;A-15-4;
MILLET;SUSAN;22199130;susan.millet@unice.fr;Petit_Valrose;A-17-1;
PINTO;HENRI;22207066;henri.pinto@unice.fr;Petit_Valrose;A-17-2;
TOUSSAINT;ÉRIC;22288468;eric.toussaint@unice.fr;Petit_Valrose;A-17-4;
